dice,iou,hd95,precision,recall,f1,class,stem
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3064)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (581)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1028)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3906)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4914)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (260)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2803)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2784)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3191)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3818)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4336)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4953)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1446)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3601)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (60)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4780)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (978)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3686)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (638)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1833)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2189)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4253)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2920)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1657)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1753)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2677)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4946)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3604)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1562)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4783)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2956)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1483)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4042)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3644)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4905)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2852)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4293)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3838)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4916)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3266)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1019)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (943)
